sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,32,,良好,,,,35,,,,,,,,"2025-05-11 15:00",,0.1,4.9,16,0,120.651472,22.260899,313
臺南（南化）,臺南市,28,,良好,0.1,0.21,36,30,11,6,2,3.1,0.3,4.4,5,"2025-05-11 15:00",,0.2,6,14,0,120.44583156,23.04562013,312
新北(樹林),新北市,54,臭氧八小時,普通,0,0.22,61,56,9,5,9,9.4,0.4,0,92,"2025-05-11 15:00",,0.2,5.9,9,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,26,,良好,0.1,0.24,42,28,1,0,6,8.3,2,0.5,79,"2025-05-11 15:00",,0.2,1.6,4,0,120.883858,24.174592,310
屏東(琉球),屏東縣,55,細懸浮微粒,普通,4.1,0.73,37,34,32,17,17,20.5,2.7,2.8,336,"2025-05-11 15:00",,0.4,13.8,22,1,120.37722,22.35222,204
南投（鹿谷）,南投縣,30,,良好,0.5,0.16,37,32,5,3,2,3.3,1.2,0.4,359,"2025-05-11 15:00",,0.1,2.7,9,0,120.7944772,23.71867609,203
高雄(湖內),高雄市,37,,良好,0.9,0.2,35,32,13,9,6,7.5,1.5,0.9,20,"2025-05-11 15:00",,0.2,9.2,20,0,120.24535,22.87985556,202
宜蘭（三星）,宜蘭縣,36,,良好,0.4,0.21,57,39,7,1,1,2.6,0.8,0.6,64,"2025-05-11 15:00",,0.1,6.2,11,0,121.6565272,24.6757916,201
員林,彰化縣,26,,良好,1,0.25,33,24,6,7,5,7,1.3,1.8,323,"2025-05-11 15:00",,0.2,6.5,9,0,120.5631893,23.9615945,139
大城,彰化縣,77,臭氧八小時,普通,0.7,0.28,59,63,12,7,6,7.8,0.9,2,46,"2025-05-11 15:00",,0.2,10.4,19,1,120.26964167,23.85493056,85
富貴角,新北市,115,臭氧八小時,對敏感族群不健康,0.2,0.17,73,75,12,8,1,1.3,0,4.6,67,"2025-05-11 15:00",,0.1,12.1,29,0,121.53656894,25.29681695,84
麥寮,雲林縣,50,,良好,1.1,0.32,53,54,10,7,6,8.2,2.2,2.3,19,"2025-05-11 15:00",,0.2,8.2,16,1,120.251825,23.753506,83
關山,臺東縣,35,,良好,0.7,0.19,37,38,8,5,2,3.2,1.1,2.2,19,"2025-05-11 15:00",,0.1,4.3,7,0,121.161933,23.045083,80
馬公,澎湖縣,80,臭氧八小時,普通,0.9,0.2,70,64,9,5,2,3.8,0.9,4.6,28,"2025-05-11 15:00",,0.2,10,19,0,119.566158,23.569031,78
金門,金門縣,53,細懸浮微粒,普通,2.3,0.24,55,47,28,17,9,10.8,1.7,1.8,39,"2025-05-11 15:00",,0.2,13.4,25,0,118.312256,24.432133,77
馬祖,連江縣,77,臭氧八小時,普通,0.8,0.2,62,63,23,9,4,4.8,0.5,1.5,323,"2025-05-11 15:00",,0.2,11.7,22,0,119.952724,26.153736,75
埔里,南投縣,25,,良好,1.3,0.19,28,27,2,1,2,3.9,1.4,1.4,287,"2025-05-11 15:00",,0.1,3.7,8,1,120.967903,23.968842,72
復興,高雄市,44,,良好,0.5,0.38,35,35,19,12,11,13.9,1.9,1.6,103,"2025-05-11 15:00",,0.3,10.8,17,0,120.312017,22.608711,71
永和,新北市,47,,良好,0.1,0.36,57,51,12,11,10,11.5,1.3,1,114,"2025-05-11 15:00",,0.4,11.1,15,0,121.516306,25.017,70
竹山,南投縣,33,,良好,0.5,0.24,56,36,7,2,5,5.8,0.7,0.9,270,"2025-05-11 15:00",,0.1,6.4,12,0,120.677306,23.756389,69
中壢,桃園市,54,二氧化氮,普通,1,0.42,40,36,10,8,27,33.5,5.9,0.9,12,"2025-05-11 15:00",,0.4,10,13,1,121.221667,24.953278,68
三重,新北市,55,二氧化氮,普通,0.5,0.64,36,27,15,9,28,38.5,9.7,-,-,"2025-05-11 15:00",,0.7,10.5,14,0,121.493806,25.072611,67
冬山,宜蘭縣,45,,良好,0.4,0.22,60,49,9,7,6,7.9,1.2,2.1,25,"2025-05-11 15:00",,0.2,8.7,13,0,121.792928,24.632203,66
宜蘭,宜蘭縣,45,,良好,0.5,0.24,62,49,6,3,3,4.5,0.8,1.5,114,"2025-05-11 15:00",,0.2,7.7,9,0,121.746394,24.747917,65
陽明,臺北市,97,臭氧八小時,普通,0.4,0.23,69,69,5,2,1,1.6,0.5,4.2,20,"2025-05-11 15:00",,0.2,2.5,6,0,121.529583,25.182722,64
花蓮,花蓮縣,47,,良好,0.7,0.27,69,51,17,7,3,4.5,0.6,2.8,73,"2025-05-11 15:00",,0.2,5,15,0,121.599769,23.971306,63
